Movie Name,Year of Release,Watch Time,Movie Rating,Meatscore of movie,Votes,Gross,Description
Vivre Sa Vie,(1962),85 min,7.8,0,"33,795",0,Twelve episodic tales in the life of a Parisian woman and her slow descent into prostitution.
Tokyo Godfathers,(2003),92 min,7.8,74        ,"43,694",$0.13M,"On Christmas Eve, three homeless people living on the streets of Tokyo discover a newborn baby among the trash and set out to find its parents."
Millennium Actress,(2001),87 min,7.8,70        ,"30,159",$0.19M,A TV interviewer and his cameraman meet a former actress and travel through her memories and career.
Veer-Zaara,(2004),192 min,7.8,67        ,"55,275",$2.92M,"""Veer-Zaara"" is a saga of love, separation, courage, and sacrifice. A love story that is an inspiration and will remain a legend forever."
Duck Soup,(1933),69 min,7.8,93        ,"61,670",0,"Rufus T. Firefly is named the dictator of bankrupt Freedonia and declares war on neighboring Sylvania over the love of his wealthy backer Mrs. Teasdale, contending with two inept spies who can't seem to keep straight which side they're on."
My Life as a Zucchini,(2016),70 min,7.8,85        ,"27,403",$0.29M,"After losing his mother, a young boy is sent to an orphanage with other orphans his age where he begins to learn the meaning of trust and true love."
Knockin' on Heaven's Door,(1997),87 min,7.8,0,"32,416",$0.00M,"Two terminally ill patients escape from a hospital, steal a car and rush towards the sea."
English Vinglish,(2012),134 min,7.8,0,"37,797",$1.67M,"A quiet, sweet tempered housewife endures small slights from her well-educated husband and daughter every day because of her inability to speak and understand English."
A Night at the Opera,(1935),96 min,7.8,0,"33,913",$2.54M,A sly business manager and the wacky friends of two opera singers in Italy help them achieve success in America while humiliating their stuffy and snobbish enemies.
Vicky Donor,(2012),126 min,7.8,0,"44,549",$0.17M,"A man is brought in by an infertility doctor to supply him with his sperm, where he becomes the biggest sperm donor for his clinic."
Hindi Medium,(2017),132 min,7.8,0,"30,898",0,A couple from Chandni Chowk aspire to give their daughter the best education and thus be a part of and accepted by the elite of Delhi.
Mission: Impossible - Fallout,(2018),147 min,7.7,86        ,"359,684",$220.16M,"Ethan Hunt and his IMF team, along with some familiar allies, race against time after a mission gone wrong."
The Whale,(2022),117 min,7.7,60        ,"166,967",0,"A reclusive, morbidly obese English teacher attempts to reconnect with his estranged teenage daughter."
The Banshees of Inisherin,(2022),114 min,7.7,87        ,"220,567",0,"Two lifelong friends find themselves at an impasse when one abruptly ends their relationship, with alarming consequences for both of them."
Aftersun,(II) (2022),102 min,7.7,95        ,"70,394",0,Sophie reflects on the shared joy and private melancholy of a holiday she took with her father twenty years earlier. Memories real and imagined fill the gaps between as she tries to reconcile the father she knew with the man she didn't...
Sicario,(2015),121 min,7.7,82        ,"451,084",$46.89M,An idealistic FBI agent is enlisted by a government task force to aid in the escalating war against drugs at the border area between the U.S. and Mexico.
The Goonies,(1985),114 min,7.7,62        ,"287,751",$61.50M,A group of young misfits called The Goonies discover an ancient map and set out on an adventure to find a legendary pirate's long-lost treasure.
Man on Fire,(2004),146 min,7.7,47        ,"375,265",$77.91M,"In Mexico City, a former CIA operative swears vengeance on those who committed an unspeakable act against the family he was hired to protect."
Kingsman: The Secret Service,(2014),129 min,7.7,60        ,"693,314",$128.26M,"A spy organisation recruits a promising street kid into the agency's training program, while a global threat emerges from a twisted tech genius."
Harry Potter and the Goblet of Fire,(2005),157 min,7.7,81        ,"653,582",$290.01M,"Harry Potter finds himself competing in a hazardous tournament between rival schools of magic, but he is distracted by recurring nightmares."
Zodiac,(2007),157 min,7.7,79        ,"569,524",$33.08M,"Between 1968 and 1983, a San Francisco cartoonist becomes an amateur detective obsessed with tracking down the Zodiac Killer, an unidentified individual who terrorizes Northern California with a killing spree."
500 Days of Summer,(2009),95 min,7.7,76        ,"536,177",$32.39M,"After being dumped by the girl he believes to be his soulmate, hopeless romantic Tom Hansen reflects on their relationship to try and figure out where things went wrong and how he can win her back."
Wind River,(2017),107 min,7.7,73        ,"265,571",$33.80M,"A wildlife officer, who is haunted by a tragedy that happened because of him, teams up with an FBI agent in solving a murder of a young woman on a Wyoming Native American reservation and hopes to get redemption from his past regrets."
Ocean's Eleven,(2001),116 min,7.7,74        ,"597,552",$183.42M,Danny Ocean and his ten accomplices plan to rob three Las Vegas casinos simultaneously.
The Hangover,(2009),100 min,7.7,73        ,"815,973",$277.32M,"Three buddies wake up from a bachelor party in Las Vegas, with no memory of the previous night and the bachelor missing. They make their way around the city in order to find their friend before his wedding."
Black Hawk Down,(2001),144 min,7.7,74        ,"410,955",$108.64M,"The story of 160 elite U.S. soldiers who dropped into Mogadishu in October 1993 to capture two top lieutenants of a renegade warlord, but found themselves in a desperate battle with a large force of heavily armed Somalis."
Another Round,(2020),117 min,7.7,79        ,"178,323",0,Four high-school teachers consume alcohol on a daily basis to see how it affects their social and professional lives.
Airplane!,(1980),88 min,7.7,78        ,"251,104",$83.40M,"After the crew becomes sick with food poisoning, a neurotic ex-fighter pilot must land a commercial airplane full of passengers safely."
The Count of Monte Cristo,(2002),131 min,7.7,61        ,"144,138",$54.23M,"A young man, falsely imprisoned by his jealous ""friend"", escapes and uses a hidden treasure to exact his revenge."
Coraline,(2009),100 min,7.7,80        ,"247,483",$75.29M,"An adventurous 11-year-old girl finds another world that is a strangely idealized version of her frustrating home, but it has sinister secrets."
Blue Is the Warmest Colour,(2013),180 min,7.7,90        ,"158,410",$2.20M,"Adèle's life is changed when she meets Emma, a young woman with blue hair, who will allow her to discover desire and to assert herself as a woman and as an adult. In front of others, Adèle grows, seeks herself, loses herself, and ultimately finds herself through love and loss."
A Few Good Men,(1992),138 min,7.7,62        ,"276,689",$141.34M,Military lawyer Lieutenant Daniel Kaffee defends Marines accused of murder. They contend they were acting under orders.
Home Alone,(1990),103 min,7.7,63        ,"609,185",$285.76M,"An eight-year-old troublemaker, mistakenly left home alone, must defend his home against a pair of burglars on Christmas eve."
Primal Fear,(1996),129 min,7.7,47        ,"235,988",$56.12M,"An altar boy is accused of murdering a priest, and the truth is buried several layers deep."
Star Trek Into Darkness,(2013),132 min,7.7,72        ,"491,323",$228.78M,"After the crew of the Enterprise find an unstoppable force of terror from within their own organization, Captain Kirk leads a manhunt to a war-zone world to capture a one-man weapon of mass destruction."
Harry Potter and the Deathly Hallows: Part 1,(2010),146 min,7.7,65        ,"574,026",$295.98M,"As Harry, Ron and Hermione race against time and evil to destroy the Horcruxes, they uncover the existence of the three most powerful objects in the wizarding world: the Deathly Hallows."
Ex Machina,(2014),108 min,7.7,78        ,"566,434",$25.44M,A young programmer is selected to participate in a ground-breaking experiment in synthetic intelligence by evaluating the human qualities of a highly advanced humanoid A.I.
Deliverance,(1972),109 min,7.7,80        ,"115,507",$7.06M,"Intent on seeing the Cahulawassee River before it's dammed and turned into a lake, outdoor fanatic Lewis Medlock takes his friends on a canoeing trip they'll never forget into the dangerous American back-country."
The Game,(1997),129 min,7.7,63        ,"413,034",$48.32M,"After a wealthy San Francisco banker is given an opportunity to participate in a mysterious game, his life is turned upside down as he begins to question if it might really be a concealed conspiracy to destroy him."
Blue Velvet,(1986),120 min,7.7,76        ,"208,084",$8.55M,"The discovery of a severed human ear found in a field leads a young man on an investigation related to a beautiful, mysterious nightclub singer and a group of psychopathic criminals who have kidnapped her child."
Apollo 13,(I) (1995),140 min,7.7,77        ,"305,917",$173.84M,NASA must devise a strategy to return Apollo 13 to Earth safely after the spacecraft undergoes massive internal damage putting the lives of the three astronauts on board in jeopardy.
3:10 to Yuma,(2007),122 min,7.7,76        ,"323,107",$53.61M,A small-time rancher agrees to hold a captured outlaw who's awaiting a train to go to court in Yuma. A battle of wills ensues as the outlaw tries to psych out the rancher.
Brokeback Mountain,(2005),134 min,7.7,87        ,"370,603",$83.04M,Ennis and Jack are two shepherds who develop a sexual and emotional relationship. Their relationship becomes complicated when both of them get married to their respective girlfriends.
Training Day,(2001),122 min,7.7,69        ,"454,207",$76.63M,A rookie cop spends his first day as a Los Angeles narcotics officer with a rogue detective who isn't what he appears to be.
Silver Linings Playbook,(2012),122 min,7.7,81        ,"726,046",$132.09M,"After a stint in a mental institution, former teacher Pat Solitano moves back in with his parents and tries to reconcile with his ex-wife. Things get more challenging when Pat meets Tiffany, a mysterious girl with problems of her own."
Mr. Nobody,(2009),141 min,7.7,63        ,"240,475",$0.00M,"A boy stands on a station platform as a train is about to leave. Should he go with his mother or stay with his father? Infinite possibilities arise from this decision. As long as he doesn't choose, anything is possible."
The Last of the Mohicans,(1992),112 min,7.7,76        ,"179,410",$75.51M,Three trappers protect the daughters of a British Colonel in the midst of the French and Indian War.
Tangled,(2010),100 min,7.7,71        ,"474,571",$200.82M,"The magically long-haired Rapunzel has spent her entire life in a tower, but now that a runaway thief has stumbled upon her, she is about to discover the world for the first time, and who she really is."
And Your Mother Too,(2001),106 min,7.7,89        ,"126,434",$13.62M,"In Mexico, two teenage boys and an attractive older woman embark on a road trip and learn a thing or two about life, friendship, sex, and each other."
The Lego Movie,(2014),100 min,7.7,83        ,"375,119",$257.76M,"An ordinary LEGO construction worker, thought to be the prophesied as ""special"", is recruited to join a quest to stop an evil tyrant from gluing the LEGO universe into eternal stasis."
Lost in Translation,(2003),102 min,7.7,91        ,"470,770",$44.59M,A faded movie star and a neglected young woman form an unlikely bond after crossing paths in Tokyo.
Blazing Saddles,(1974),93 min,7.7,73        ,"146,354",$119.50M,"In order to ruin a western town, a corrupt politician appoints a black Sheriff, who promptly becomes his most formidable adversary."
Halloween,(1978),91 min,7.7,87        ,"291,086",$47.00M,"Fifteen years after murdering his sister on Halloween night 1963, Michael Myers escapes from a mental hospital and returns to the small town of Haddonfield, Illinois to kill again."
Birdman or (The Unexpected Virtue of Ignorance),(2014),119 min,7.7,87        ,"649,635",$42.34M,"A washed-up superhero actor attempts to revive his fading career by writing, directing, and starring in a Broadway production."
The Boondock Saints,(1999),108 min,7.7,44        ,"244,717",$0.03M,Two Irish Catholic brothers become vigilantes and wipe out Boston's criminal underworld in the name of God.
X: First Class,(2011),131 min,7.7,65        ,"709,094",$146.41M,"In the 1960s, superpowered humans Charles Xavier and Erik Lensherr work together to find others like them, but Erik's vengeful pursuit of an ambitious mutant who ruined his life causes a schism to divide them."
Gravity,(2013),91 min,7.7,96        ,"845,070",$274.09M,Two astronauts work together to survive after an accident leaves them stranded in space.
First Blood,(1982),93 min,7.7,61        ,"264,899",$47.21M,A veteran Green Beret is forced by a cruel Sheriff and his deputies to flee into the mountains and wage an escalating one-man war against his pursuers.
"O Brother, Where Art Thou?",(2000),107 min,7.7,69        ,"322,207",$45.51M,"In the deep south during the 1930s, three escaped convicts search for hidden treasure while a relentless lawman pursues them."
Donnie Brasco,(1997),127 min,7.7,76        ,"319,805",$41.91M,"An FBI undercover agent infiltrates the mob and finds himself identifying more with the mafia life, at the expense of his regular one."
Toy Story 4,(2019),100 min,7.7,84        ,"266,434",$434.04M,"When a new toy called ""Forky"" joins Woody and the gang, a road trip alongside old and new friends reveals how big the world can be for a toy."
The Bourne Supremacy,(2004),108 min,7.7,73        ,"476,401",$176.24M,"When Jason Bourne is framed for a CIA operation gone awry, he is forced to resume his former life as a trained assassin to survive."
Midnight in Paris,(2011),94 min,7.7,81        ,"437,954",$56.82M,"While on a trip to Paris with his fiancée's family, a nostalgic screenwriter finds himself mysteriously going back to the 1920s every day at midnight."
Argo,(2012),120 min,7.7,86        ,"628,018",$136.03M,"Acting under the cover of a Hollywood producer scouting a location for a science fiction film, a CIA agent launches a dangerous operation to rescue six Americans in Tehran during the U.S. hostage crisis in Iran in 1979."
What's Eating Gilbert Grape,(1993),118 min,7.7,73        ,"246,087",$9.17M,A young man in a small Midwestern town struggles to care for his mentally-disabled younger brother and morbidly obese mother while attempting to pursue his own happiness.
Who Framed Roger Rabbit,(1988),104 min,7.7,83        ,"209,947",$156.45M,A toon-hating detective is a cartoon rabbit's only hope to prove his innocence when he is accused of murder.
Crash,(I) (2004),112 min,7.7,66        ,"443,718",$54.58M,"Los Angeles citizens with vastly separate lives collide in interweaving stories of race, loss and redemption."
Detachment,(2011),98 min,7.7,52        ,"93,320",$0.07M,A substitute teacher who drifts from classroom to classroom finds a connection to the students and teachers during his latest assignment.
Wreck-It Ralph,(2012),101 min,7.7,72        ,"442,087",$189.42M,"A video game villain wants to be a hero and sets out to fulfill his dream, but his quest brings havoc to the whole arcade where he lives."
Sound of Metal,(2019),120 min,7.7,82        ,"139,874",0,A heavy metal drummer's life is turned upside down when he begins to lose his hearing and he must confront a future filled with silence.
Road to Perdition,(2002),117 min,7.7,72        ,"277,634",$104.45M,"A mob enforcer's son in 1930s Illinois witnesses a murder, forcing him and his father to take to the road, and his father down a path of redemption and revenge."
Sense and Sensibility,(1995),136 min,7.7,84        ,"121,134",$43.18M,"Rich Mr. Dashwood dies, leaving his second wife and her three daughters poor by the rules of inheritance. The two eldest daughters are the title opposites."
The Color Purple,(1985),154 min,7.7,78        ,"91,632",$98.47M,A black Southern woman struggles to find her identity after suffering abuse from her father and others over four decades.
The Fault in Our Stars,(2014),126 min,7.7,69        ,"390,432",$124.87M,Two teenage cancer patients begin a life-affirming journey to visit a reclusive author in Amsterdam.
The Theory of Everything,(2014),123 min,7.7,71        ,"467,679",$35.89M,A look at the relationship between the famous physicist Stephen Hawking and his wife.
As Good as It Gets,(1997),139 min,7.7,67        ,"309,664",$148.48M,"A single mother and waitress, a misanthropic author, and a gay artist form an unlikely friendship after the artist is assaulted in a robbery."
The Boy in the Striped Pajamas,(2008),94 min,7.7,55        ,"233,041",$9.03M,"Through the innocent eyes of Bruno, the eight-year-old son of the commandant at a German concentration camp, a forbidden friendship with a Jewish boy on the other side of the camp fence has startling and unexpected consequences."
A Man Called Ove,(2015),116 min,7.7,70        ,"64,627",$3.48M,"Ove, an ill-tempered, isolated retiree who spends his days enforcing block association rules and visiting his wife's grave, has finally given up on life just as an unlikely friendship develops with his boisterous new neighbors."
Philadelphia,(1993),125 min,7.7,66        ,"250,781",$77.32M,"When a man with HIV is fired by his law firm because of his condition, he hires a homophobic small time lawyer as the only willing advocate for a wrongful dismissal suit."
Gattaca,(1997),106 min,7.7,64        ,"314,496",$12.34M,A genetically inferior man assumes the identity of a superior one in order to pursue his lifelong dream of space travel.
Naked,(1993),131 min,7.7,85        ,"41,972",$1.77M,An unemployed Mancunian vents his rage on unsuspecting strangers as he embarks on a nocturnal London odyssey.
The Trial of the Chicago 7,(2020),129 min,7.7,76        ,"186,332",0,"The story of 7 people on trial stemming from various charges surrounding the uprising at the 1968 Democratic National Convention in Chicago, Illinois."
Lucky Number Slevin,(2006),110 min,7.7,53        ,"320,385",$22.49M,"A case of mistaken identity lands Slevin into the middle of a war being plotted by two of the city's most rival crime bosses. Under constant surveillance by Detective Brikowski and assassin Goodkat, he must get them before they get him."
Empire of the Sun,(1987),153 min,7.7,62        ,"130,954",$22.24M,A young English boy struggles to survive under Japanese occupation of China during World War II.
Fried Green Tomatoes,(1991),130 min,7.7,64        ,"78,772",$82.42M,A housewife who is unhappy with her life befriends an old lady at a nursing home and is enthralled by the tales she tells of people she used to know.
Serpico,(1973),130 min,7.7,81        ,"129,534",$29.80M,An honest New York cop named Frank Serpico blows the whistle on rampant corruption in the force only to have his comrades turn against him.
Dirty Harry,(1971),102 min,7.7,87        ,"163,312",$35.90M,"When a man calling himself ""the Scorpio Killer"" menaces San Francisco, tough-as-nails Police Inspector ""Dirty"" Harry Callahan is assigned to track down the crazed psychopath."
When Harry Met Sally...,(1989),95 min,7.7,76        ,"230,543",$92.82M,"Harry and Sally have known each other for years, and are very good friends, but they fear sex would ruin the friendship."
Flipped,(I) (2010),90 min,7.7,45        ,"94,261",$1.75M,Two eighth-graders start to have feelings for each other despite being total opposites.
Glengarry Glen Ross,(1992),100 min,7.7,82        ,"111,681",$10.73M,An examination of the machinations behind the scenes at a real estate office.
The Magnificent Seven,(1960),128 min,7.7,74        ,"99,175",$4.91M,Seven gunfighters are hired by Mexican peasants to liberate their village from oppressive bandits.
The French Connection,(1971),104 min,7.7,94        ,"129,080",$15.63M,"A pair of NYPD detectives in the Narcotics Bureau stumble onto a heroin smuggling ring based in Marseilles, but stopping them and capturing their leaders proves an elusive goal."
Being John Malkovich,(1999),113 min,7.7,90        ,"345,885",$22.86M,A puppeteer discovers a portal that leads literally into the head of movie star John Malkovich.
Ray,(I) (2004),152 min,7.7,73        ,"153,335",$75.33M,"The story of the life and career of the legendary rhythm and blues musician Ray Charles, from his humble beginnings in the South, where he went blind at age seven, to his meteoric rise to stardom during the 1950s and 1960s."
This Is England,(2006),101 min,7.7,86        ,"125,798",$0.33M,"A young boy becomes friends with a gang of skinheads. Friends soon become like family, and relationships will be pushed to the very limit."
Goldfinger,(1964),110 min,7.7,87        ,"197,017",$51.08M,"While investigating a gold magnate's smuggling, James Bond uncovers a plot to contaminate the Fort Knox gold reserve."
Ordinary People,(1980),124 min,7.7,86        ,"54,872",$54.80M,"The accidental death of the older son of an affluent family deeply strains the relationships among the bitter mother, the good-natured father and the guilt-ridden younger son."
The Name of the Rose,(1986),130 min,7.7,54        ,"112,583",$7.15M,An intellectually nonconformist friar investigates a series of mysterious deaths in an isolated abbey.
Evil Dead II,(1987),84 min,7.7,72        ,"175,483",$5.92M,The lone survivor of an onslaught of flesh-possessing spirits holes up in a cabin with a group of strangers while the demons continue their attack.
Adaptation.,(2002),115 min,7.7,83        ,"198,249",$22.25M,A lovelorn screenwriter becomes desperate as he tries and fails to adapt 'The Orchid Thief' by Susan Orlean for the screen.
Kung Fu Hustle,(2004),99 min,7.7,78        ,"145,927",$17.11M,"In Shanghai, China in the 1940s, a wannabe gangster aspires to join the notorious ""Axe Gang"" while residents of a housing complex exhibit extraordinary powers in defending their turf."
Happiness,(1998),134 min,7.7,81        ,"72,626",$2.81M,"The lives of several individuals intertwine as they go about their lives in their own unique ways, engaging in acts which society as a whole might find disturbing in a desperate search for human connection."
Clerks,(1994),92 min,7.7,70        ,"228,273",$3.15M,"A day in the lives of two convenience clerks named Dante and Randal as they annoy customers, discuss movies, and play hockey on the store roof."
Star Trek II: The Wrath of Khan,(1982),113 min,7.7,68        ,"126,235",$78.91M,"With the assistance of the Enterprise crew, Admiral Kirk must stop an old nemesis, Khan Noonien Singh, from using the life-generating Genesis Device as the ultimate weapon."
Malcolm X,(1992),202 min,7.7,73        ,"98,901",$48.17M,"Biographical epic of the controversial and influential Black Nationalist leader, from his early life and career as a small-time gangster, to his ministry as a member of the Nation of Islam and his eventual assassination."
Wait Until Dark,(1967),108 min,7.7,81        ,"32,445",$17.55M,A recently blinded woman is terrorized by a trio of thugs while they search for a heroin-stuffed doll they believe is in her apartment.
The Verdict,(1982),129 min,7.7,77        ,"43,649",$54.00M,"An outcast, alcoholic Boston lawyer sees the chance to salvage his career and self-respect by taking a medical malpractice case to trial rather than settling."
Roma,(2018),135 min,7.7,96        ,"164,894",0,A year in the life of a middle-class family's maid in Mexico City in the early 1970s.
The Wind Rises,(2013),126 min,7.7,83        ,"91,789",$5.21M,"A look at the life of Jiro Horikoshi, the man who designed Japanese fighter planes during World War II."
Billy Elliot,(2000),110 min,7.7,74        ,"139,248",$22.00M,A talented young boy becomes torn between his unexpected love of dance and the disintegration of his family.
Paprika,(2006),90 min,7.7,81        ,"89,212",$0.88M,"When a machine that allows therapists to enter their patients' dreams is stolen, all hell breaks loose. Only a young female therapist, Paprika, can stop it."
Bonnie and Clyde,(1967),111 min,7.7,86        ,"117,331",0,"Bored waitress Bonnie Parker falls in love with an ex-con named Clyde Barrow and together they start a violent crime spree through the country, stealing cars and robbing banks."
Run Lola Run,(1998),80 min,7.7,77        ,"203,204",$7.27M,"After a botched money delivery, Lola has 20 minutes to come up with 100,000 Deutschmarks."
The Great Beauty,(2013),141 min,7.7,86        ,"94,759",$2.85M,"Jep Gambardella has seduced his way through the lavish nightlife of Rome for decades, but after his 65th birthday and a shock from the past, Jep looks past the nightclubs and parties to find a timeless landscape of absurd, exquisite beauty."
Miller's Crossing,(1990),115 min,7.7,66        ,"138,944",$5.08M,"Tom Reagan, an advisor to a Prohibition-era crime boss, tries to keep the peace between warring mobs but gets caught in divided loyalties."
The Longest Day,(1962),178 min,7.7,75        ,"57,824",$39.10M,"The events of D-Day, told on a grand scale from both the Allied and German points of view."
The Dirty Dozen,(1967),150 min,7.7,73        ,"76,710",$45.30M,"During World War II, a rebellious U.S. Army Major is assigned a dozen convicted murderers to train and lead them into a mass assassination mission of German officers."
Belle de Jour,(1967),100 min,7.7,0,"46,971",$0.03M,A frigid young housewife decides to spend her midweek afternoons as a prostitute.
"South Park: Bigger, Longer & Uncut",(1999),81 min,7.7,73        ,"210,798",$52.04M,"When Stan Marsh and his friends go see an R-rated movie, they start cursing and their parents think that Canada is to blame."
Badlands,(1973),94 min,7.7,93        ,"75,994",0,"An impressionable teenage girl from a dead-end town, and her older greaser boyfriend, embark on a killing spree in the South Dakota Badlands."
Finding Neverland,(2004),106 min,7.7,67        ,"209,575",$51.68M,The story of Sir J.M. Barrie's friendship with a family who inspired him to create Peter Pan.
Fantastic Planet,(1973),72 min,7.7,73        ,"34,714",$0.19M,"On a faraway planet where blue giants rule, oppressed humanoids rebel against their machine-like leaders."
Mother,(2009),129 min,7.7,79        ,"68,409",$0.55M,A mother desperately searches for the killer who framed her son for a girl's horrific murder.
Kubo and the Two Strings,(2016),101 min,7.7,84        ,"134,928",$48.02M,A young boy named Kubo must locate a magical suit of armour worn by his late father in order to defeat a vengeful spirit from the past.
Zulu,(1964),138 min,7.7,77        ,"41,299",0,Outnumbered British soldiers do battle with Zulu warriors at Rorke's Drift.
The Quiet Man,(1952),129 min,7.7,85        ,"40,797",$10.55M,"A retired American boxer returns to the village of his birth in 1920s Ireland, where he falls for a spirited redhead whose brother is contemptuous of their union."
The Last Emperor,(1987),163 min,7.7,76        ,"108,027",$43.98M,"Bernardo Bertolucci's Oscar-winning dramatisation of the life story of China's last emperor, Pu Yi."
Beasts of No Nation,(2015),137 min,7.7,79        ,"84,623",$0.08M,"A drama based on the experiences of Agu, a child soldier fighting in the civil war of an unnamed African country."
Me and Earl and the Dying Girl,(2015),105 min,7.7,74        ,"135,414",$6.74M,"High schooler Greg, who spends most of his time making parodies of classic movies with his co-worker Earl, finds his outlook forever altered after befriending a classmate who has just been diagnosed with cancer."
Fantasia,(1940),124 min,7.7,96        ,"100,631",$76.41M,"A collection of animated interpretations of great works of Western classical music, ranging from the abstract to depictions of mythology and fantasy, and settings including the prehistoric, supernatural and sacred."
Open Your Eyes,(1997),119 min,7.7,0,"71,634",$0.37M,"A very handsome man finds the love of his life, but he suffers an accident and needs to have his face rebuilt by surgery after it is severely disfigured."
Hamlet,(1996),242 min,7.7,0,"39,153",$4.41M,"Hamlet, Prince of Denmark, returns home to find his father murdered and his mother remarrying the murderer, his uncle. Meanwhile, war is brewing."
Short Cuts,(1993),188 min,7.7,81        ,"46,395",$6.11M,The day-to-day lives of several suburban Los Angeles residents.
Black Book,(2006),145 min,7.7,71        ,"78,843",$4.40M,"In the Nazi-occupied Netherlands during World War II, a Jewish singer infiltrates the regional Gestapo headquarters for the Dutch resistance."
The African Queen,(1951),105 min,7.7,91        ,"81,960",$0.54M,"In WWI East Africa, a gin-swilling Canadian riverboat captain is persuaded by a strait-laced English missionary to undertake a trip up a treacherous river and use his boat to attack a German gunship."
Perfect Strangers,(2016),96 min,7.7,0,"68,708",0,"Seven long-time friends meet for dinner. They decide to share their text messages, emails and phone calls. Secrets are unveiled. Harmony trembles."
Porco Rosso,(1992),94 min,7.7,83        ,"95,563",0,"In 1930s Italy, a veteran World War I pilot is cursed to look like an anthropomorphic pig."
Breathless,(1960),90 min,7.7,0,"85,289",$0.34M,"A small-time thief steals a car and impulsively murders a motorcycle policeman. Wanted by the authorities, he reunites with a hip American journalism student and attempts to persuade her to run away with him to Italy."
The Man from Nowhere,(2010),119 min,7.7,0,"72,517",$0.01M,A quiet pawnshop keeper with a violent past takes on a drug-and-organ trafficking ring in hope of saving the child who is his only friend.
The Vanishing,(1988),107 min,7.7,0,"41,378",0,"Rex and Saskia, a young couple in love, are on vacation. They stop at a busy service station and Saskia is abducted. After three years and no sign of Saskia, Rex begins receiving letters from the abductor."
Down by Law,(1986),107 min,7.7,75        ,"53,740",$1.44M,"Two men are framed and sent to jail, where they meet a murderer who helps them escape and leave the state."
Nebraska,(2013),115 min,7.7,86        ,"120,754",$17.65M,"An aging, booze-addled father makes the trip from Montana to Nebraska with his estranged son in order to claim a million-dollar Mega Sweepstakes Marketing prize."
The Magdalene Sisters,(2002),114 min,7.7,83        ,"27,926",$4.89M,Three young Irish women struggle to maintain their spirits while they endure dehumanizing abuse as inmates of a Magdalene Sisters Asylum.
Invasion of the Body Snatchers,(1956),80 min,7.7,92        ,"52,645",0,A small-town doctor learns that the population of his community is being replaced by emotionless alien duplicates.
Jules and Jim,(1962),105 min,7.7,97        ,"43,282",0,Decades of a love triangle concerning two friends and an impulsive woman.
Waking Life,(2001),99 min,7.7,84        ,"65,835",$2.89M,A man shuffles through a dream meeting various people and discussing the meanings and purposes of the universe.
When Marnie Was There,(2014),103 min,7.7,72        ,"44,475",$0.77M,"Due to 12 y.o. Anna's asthma, she's sent to stay with relatives of her guardian in the Japanese countryside. She likes to be alone, sketching. She befriends Marnie. Who is the mysterious, blonde Marnie?"
Hard Boiled,(1992),128 min,7.7,0,"52,518",0,A tough-as-nails cop teams up with an undercover agent to shut down a sinister mobster and his crew.
Hedwig and the Angry Inch,(2001),95 min,7.7,85        ,"36,716",$3.03M,A gender-queer punk-rock singer from East Berlin tours the U.S. with her band as she tells her life story and follows the former lover/band-mate who stole her songs.
Cape Fear,(1962),106 min,7.7,76        ,"30,583",0,A lawyer's family is stalked by a man he once helped put in jail.
The Double Life of Véronique,(1991),98 min,7.7,86        ,"51,221",$2.00M,"Two parallel stories about two identical women; one living in Poland, the other in France. They don't know each other, but their lives are nevertheless profoundly connected."
Night on Earth,(1991),129 min,7.7,68        ,"63,529",$2.02M,An anthology of 5 different cab drivers in 5 American and European cities and their remarkable fares on the same eventful night.
Happy Together,(1997),96 min,7.7,70        ,"32,178",$0.19M,A couple take a trip to Argentina but both men find their lives drifting apart in opposite directions.
Good Bye Lenin!,(2003),121 min,7.7,68        ,"149,918",$4.06M,"In 1990, to protect his fragile mother from a fatal shock after a long coma, a young man must keep her from learning that her beloved nation of East Germany as she knew it has disappeared."
A Man for All Seasons,(1966),120 min,7.7,72        ,"36,147",$28.35M,"The story of Sir Thomas More, who stood up to King Henry VIII when the King rejected the Roman Catholic Church to obtain a divorce and remarry."
Black Narcissus,(1947),101 min,7.7,86        ,"26,429",0,"A group of nuns struggle to establish a convent in the Himalayas, while isolation, extreme weather, altitude, and culture clashes all conspire to drive the well-intentioned missionaries mad."
The Broken Circle Breakdown,(2012),111 min,7.7,70        ,"42,217",$0.18M,"Elise and Didier fall in love at first sight, in spite of their differences. He talks, she listens. He's a romantic atheist, she's a religious realist. When their daughter becomes seriously ill, their love is put on trial."
Frost/Nixon,(2008),122 min,7.7,80        ,"110,634",$18.59M,A dramatic retelling of the post-Watergate television interviews between British talk-show host David Frost and former president Richard Nixon.
The Salesman,(2016),124 min,7.7,85        ,"62,920",$2.40M,"While Ranaa and Emad, a married couple, are participating in a production of ""Death of a Salesman,"" she is assaulted in their new home, which leaves him determined to find the perpetrator over his wife's traumatized objections."
The Little Prince,(2015),108 min,7.7,70        ,"64,748",$1.34M,"A little girl lives in a very grown-up world with her mother, who tries to prepare her for it. Her neighbor, the Aviator, introduces the girl to an extraordinary world where anything is possible, the world of the Little Prince."
Scarface,(1932),93 min,7.7,90        ,"29,302",0,"An ambitious and nearly insane violent gangster climbs the ladder of success in the mob, but his weaknesses prove to be his downfall."
