Movie Name,Year of Release,Watch Time,Movie Rating,Meatscore of movie,Votes,Gross,Description
Toy Story 3,(2010),103 min,8.3,92        ,"864,345",$415.00M,"The toys are mistakenly delivered to a day-care center instead of the attic right before Andy leaves for college, and it's up to Woody to convince the other toys that they weren't abandoned and to return home."
Amélie,(2001),122 min,8.3,69        ,"774,713",$33.23M,"Despite being caught in her imaginative world, Amelie, a young waitress, decides to help people find happiness. Her quest to spread joy leads her on a journey where she finds true love."
Star Wars: Episode VI - Return of the Jedi,(1983),131 min,8.3,58        ,"1,087,413",$309.13M,"After rescuing Han Solo from Jabba the Hutt, the Rebels attempt to destroy the second Death Star, while Luke struggles to help Darth Vader back from the dark side."
Princess Mononoke,(1997),134 min,8.3,76        ,"412,076",$2.38M,"On a journey to find the cure for a Tatarigami's curse, Ashitaka finds himself in the middle of a war between the forest gods and Tatara, a mining colony. In this quest he also meets San, the Mononoke Hime."
Vertigo,(1958),128 min,8.3,100        ,"414,244",$3.20M,"A former San Francisco police detective juggles wrestling with his personal demons and becoming obsessed with the hauntingly beautiful woman he has been hired to trail, who may be deeply disturbed."
Citizen Kane,(1941),119 min,8.3,100        ,"454,032",$1.59M,"Following the death of publishing tycoon Charles Foster Kane, reporters scramble to uncover the meaning of his final utterance: 'Rosebud.'"
Singin' in the Rain,(1952),103 min,8.3,99        ,"251,484",$8.82M,A silent film star falls for a chorus girl just as he and his delusionally jealous screen partner are trying to make the difficult transition to talking pictures in 1920s Hollywood.
Metropolis,(1927),153 min,8.3,98        ,"179,796",$1.24M,"In a futuristic city sharply divided between the working class and the city planners, the son of the city's mastermind falls in love with a working-class prophet who predicts the coming of a savior to mediate their differences."
North by Northwest,(1959),136 min,8.3,98        ,"337,169",$13.28M,"A New York City advertising executive goes on the run after being mistaken for a government agent by a group of foreign spies, and falls for a woman whose loyalties he begins to doubt."
A Separation,(2011),123 min,8.3,95        ,"251,510",$7.10M,A married couple are faced with a difficult decision - to improve the life of their child by moving to another country or to stay in Iran and look after a deteriorating parent who has Alzheimer's disease.
The Sting,(1973),129 min,8.3,83        ,"271,567",$159.60M,Two grifters team up to pull off the ultimate con.
The Apartment,(1960),125 min,8.3,94        ,"188,707",$18.60M,"A Manhattan insurance clerk tries to rise in his company by letting its executives use his apartment for trysts, but complications and a romance of his own ensue."
Judgment at Nuremberg,(1961),179 min,8.3,60        ,"81,072",#136,"In 1948, an American court in occupied Germany tries four Nazis judged for war crimes."
Dangal,(2016),161 min,8.3,0,"199,924",$12.39M,Former wrestler Mahavir Singh Phogat and his two wrestler daughters struggle towards glory at the Commonwealth Games in the face of societal oppression.
M,(1931),99 min,8.3,0,"163,208",$0.03M,"When the police in a German city are unable to catch a child-murderer, other criminals join in the manhunt."
Ikiru,(1952),143 min,8.3,92        ,"83,144",$0.06M,A bureaucrat tries to find meaning in his life after he discovers he has terminal cancer.
Double Indemnity,(1944),107 min,8.3,95        ,"162,264",$5.72M,"A Los Angeles insurance representative lets an alluring housewife seduce him into a scheme of insurance fraud and murder that arouses the suspicion of his colleague, an insurance investigator."
Kantara,(2022),148 min,8.3,0,"97,243",0,"When greed paves the way for betrayal, scheming and murder, a young tribal reluctantly dons the traditions of his ancestors to seek justice."
